Incident Number,Highest Offense Description,Highest Offense Code,Family Violence,Occurred Date Time,Occurred Date,Occurred Time,Report Date Time,Report Date,Report Time,Location Type,Address,Zip Code,Council District,APD Sector,APD District,PRA,Census Tract,Clearance Status,Clearance Date,UCR Category,Category Description,X-coordinate,Y-coordinate,Latitude,Longitude,Location
20195018551,BURGLARY OF VEHICLE,601,N,05/06/2019 09:00:00 PM,05/06/2019,2100,05/07/2019 10:20:00 AM,05/07/2019,1020,PARKING LOTS / GARAGE,3409 SPEEDWAY,78705,9,BA,1,346,5,N,05/07/2019,23F,Theft,3116744,3116744,30.29894596,-97.73427261,"(30.29894596, -97.73427261)"
20202170388,AUTO THEFT,700,N,08/04/2020 09:13:00 AM,08/04/2020,913,08/04/2020 09:13:00 AM,08/04/2020,913,RESIDENCE / HOME,2711 HEMPHILL PARK,78705,9,BA,1,361,6,N,08/05/2020,240,Auto Theft,3114757,3114757,30.29285279,-97.74073416,"(30.29285279, -97.74073416)"
20202270979,TERRORISTIC THREAT,2704,N,08/14/2020 03:50:00 PM,08/14/2020,1550,08/14/2020 03:50:00 PM,08/14/2020,1550,STREETS / HWY / ROAD / ALLEY,409 W 38TH ST,78705,9,BA,1,346,5,N,08/18/2020,,,3115755,3115755,30.30204967,-97.7373238,"(30.30204967, -97.7373238)"
20195019653,BURGLARY OF VEHICLE,601,N,05/13/2019 08:00:00 PM,05/13/2019,2000,05/14/2019 05:24:00 PM,05/14/2019,1724,RESIDENCE / HOME,2811 RIO GRANDE ST,78705,9,BA,1,360,6,N,05/15/2019,23F,Theft,3113819,3113819,30.29425155,-97.74366947,"(30.29425155, -97.74366947)"
2019991195,AUTO THEFT,700,N,04/08/2019 03:00:00 PM,04/08/2019,1500,04/09/2019 04:29:00 PM,04/09/2019,1629,PARKING LOTS / GARAGE,501 W 26TH ST,78705,9,BA,1,360,6,N,05/16/2019,240,Auto Theft,3114221,3114221,30.29017401,-97.74250483,"(30.29017401, -97.74250483)"
20205001074,BURGLARY OF VEHICLE,601,N,01/08/2020 04:00:00 PM,01/08/2020,1600,01/09/2020 08:18:00 AM,01/09/2020,818,PARKING LOTS / GARAGE,3408 SPEEDWAY,78705,9,BA,1,346,5,N,01/09/2020,23F,Theft,3116501,3116501,30.29895332,-97.73504261,"(30.29895332, -97.73504261)"
2020730306,POSS OF FIREARM BY FELON,1502,N,03/13/2020 04:44:00 AM,03/13/2020,444,03/13/2020 04:44:00 AM,03/13/2020,444,CHURCH / SYNAGOGUE / TEMPLE / MOSQUE,2020 SAN ANTONIO ST,78705,9,BA,1,359,6,C,03/13/2020,,,3114015,3114015,30.28367243,-97.74333216,"(30.28367243, -97.74333216)"
20202780996,CRIMINAL MISCHIEF,1400,N,10/04/2020 04:34:00 PM,10/04/2020,1634,10/04/2020 05:57:00 PM,10/04/2020,1757,CHURCH / SYNAGOGUE / TEMPLE / MOSQUE,2107 SAN ANTONIO ST,78705,9,BA,1,359,,N,10/06/2020,,,3114148,3114148,30.28448582,-97.74288885,"(30.28448582, -97.74288885)"
20208003578,BURGLARY OF VEHICLE,601,N,08/14/2020 12:00:00 AM,08/14/2020,0,08/14/2020 12:30:00 PM,08/14/2020,1230,PARKING LOTS / GARAGE,501 W 26TH ST,78705,9,BA,1,360,6,N,08/17/2020,23F,Theft,3114221,3114221,30.29017401,-97.74250483,"(30.29017401, -97.74250483)"
20205030813,BURGLARY OF VEHICLE,601,N,08/07/2020 06:00:00 PM,08/07/2020,1800,08/09/2020 11:09:00 AM,08/09/2020,1109,RESIDENCE / HOME,501 W 26TH ST,78705,9,BA,1,360,6,N,08/10/2020,23F,Theft,3114221,3114221,30.29017401,-97.74250483,"(30.29017401, -97.74250483)"
2020490597,AGG ROBBERY/DEADLY WEAPON,300,N,02/18/2020 09:03:00 AM,02/18/2020,903,02/18/2020 10:20:00 AM,02/18/2020,1020,STREETS / HWY / ROAD / ALLEY,1000 W 24TH ST,78705,9,BA,3,356,,C,02/25/2020,120,Robbery,3112321,3112321,30.28830262,-97.74857652,"(30.28830262, -97.74857652)"
