Incident Number,Highest Offense Description,Highest Offense Code,Family Violence,Occurred Date Time,Occurred Date,Occurred Time,Report Date Time,Report Date,Report Time,Location Type,Address,Zip Code,Council District,APD Sector,APD District,PRA,Census Tract,Clearance Status,Clearance Date,UCR Category,Category Description,X-coordinate,Y-coordinate,Latitude,Longitude,Location
20205012528,BURGLARY OF VEHICLE,601,N,03/28/2020 09:00:00 AM,03/28/2020,900,03/28/2020 04:26:00 PM,03/28/2020,1626,PARKING LOTS / GARAGE,2901 SWISHER ST,78705,9,BA,1,348,,N,03/30/2020,23F,Theft,3119523,3119523,30.28816487,-97.72575573,"(30.28816487, -97.72575573)"
20205013420,THEFT OF LICENSE PLATE,614,N,04/03/2020 03:00:00 PM,04/03/2020,1500,04/04/2020 02:21:00 PM,04/04/2020,1421,RESIDENCE / HOME,710 W 30TH ST,78705,9,BA,3,345,,N,04/04/2020,23G,Theft,3113467,3113467,30.29818844,-97.7446795,"(30.29818844, -97.7446795)"
20205037366,BURGLARY OF RESIDENCE,500,N,09/16/2020 02:00:00 PM,09/16/2020,1400,09/18/2020 12:24:00 PM,09/18/2020,1224,RESIDENCE / HOME,912 W 21ST ST,78705,9,BA,2,358,,N,10/05/2020,220,Burglary,3112734,3112734,30.28486215,-97.74735982,"(30.28486215, -97.74735982)"
20205013039,THEFT,600,N,04/01/2020 11:56:00 AM,04/01/2020,1156,04/01/2020 12:39:00 PM,04/01/2020,1239,RESTAURANTS,907 W 24TH ST,78705,9,BA,2,358,,N,04/01/2020,23H,Theft,3112709,3112709,30.28788199,-97.74735814,"(30.28788199, -97.74735814)"
20205012954,HARASSMENT,2703,N,03/31/2020 07:21:00 PM,03/31/2020,1921,03/31/2020 07:21:00 PM,03/31/2020,1921,PARK / PLAYGROUND,3707 TOM GREEN ST,78705,9,BA,1,346,,N,04/02/2020,,,3117739,3117739,30.29851366,-97.73113057,"(30.29851366, -97.73113057)"
20218000477,THEFT,600,N,01/21/2021 11:30:00 AM,01/21/2021,1130,01/21/2021 01:56:00 PM,01/21/2021,1356,RESIDENCE / HOME,114 E 31ST ST,78705,9,BA,1,346,5,N,01/25/2021,23H,Theft,3116272,3116272,30.2950894,-97.73587242,"(30.2950894, -97.73587242)"
2020890025,AGG ASLT STRANGLE/SUFFOCATE,410,Y,03/29/2020 12:17:00 AM,03/29/2020,17,03/29/2020 05:09:00 AM,03/29/2020,509,RESIDENCE / HOME,2100 NUECES ST,78705,9,BA,1,359,,C,03/29/2020,13A,Aggravated Assault,3113755,3113755,30.28415088,-97.74414328,"(30.28415088, -97.74414328)"
20205012813,FRAUD - OTHER,1199,N,03/26/2020 08:20:00 AM,03/26/2020,820,03/31/2020 08:20:00 AM,03/31/2020,820,RESIDENCE / HOME,709 W 26TH ST,78705,9,BA,3,356,,N,03/31/2020,,,3113360,3113360,30.29039405,-97.74522766,"(30.29039405, -97.74522766)"
20205013385,IDENTITY THEFT,4022,N,04/03/2020 03:00:00 PM,04/03/2020,1500,04/03/2020 09:13:00 PM,04/03/2020,2113,RESIDENCE / HOME,2205 N LAMAR BLVD,78705,9,BA,2,358,6,N,04/05/2020,,,3111010,3111010,30.28636864,-97.75278302,"(30.28636864, -97.75278302)"
20202781461,FAMILY DISTURBANCE,3400,N,10/04/2020 10:35:00 PM,10/04/2020,2235,10/04/2020 10:35:00 PM,10/04/2020,2235,RESIDENCE / HOME,3316 GUADALUPE ST,78705,9,BA,3,345,2,,,,,3114792,3114792,30.30042913,-97.7404197,"(30.30042913, -97.7404197)"
